price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
18.5754,18.6468,18.6111,140143054.3804,0.22,0.1822
18.6468,18.7182,18.6825,92401229.0604,0.1451,0.1201
18.7182,18.7897,18.7539,78457889.3938,0.1232,0.102
18.7897,18.8611,18.8254,87044309.228,0.1367,0.1132
18.8611,18.9325,18.8968,105998118.8378,0.1664,0.1378
18.9325,19.0039,18.9682,99955562.1931,0.1569,0.13
19.0039,19.0753,19.0396,106708379.4588,0.1675,0.1387
19.0753,19.1468,19.1111,125224958.5635,0.1966,0.1628
19.1468,19.2182,19.1825,92571366.8622,0.1453,0.1204
19.2182,19.2896,19.2539,107283268.7397,0.1684,0.1395
19.2896,19.361,19.3253,125339079.588,0.1968,0.163
19.361,19.4324,19.3967,118367132.0538,0.1858,0.1539
19.4324,19.5039,19.4682,121574996.2712,0.1909,0.1581
19.5039,19.5753,19.5396,110664189.3981,0.1737,0.1439
19.5753,19.6467,19.611,79905245.7636,0.1255,0.1039
19.6467,19.7181,19.6824,118233764.8836,0.1856,0.1537
19.7181,19.7895,19.7538,59037241.0918,0.0927,0.0768
19.7895,19.861,19.8253,108377391.7528,0.1702,0.1409
19.861,19.9324,19.8967,111000959.2824,0.1743,0.1443
19.9324,20.0038,19.9681,66745310.7253,0.1048,0.0868
20.0038,20.0752,20.0395,90225656.4044,0.1417,0.1173
20.0752,20.1467,20.1109,120977514.9045,0.1899,0.1573
20.1467,20.2181,20.1824,82447491.683,0.1294,0.1072
20.2181,20.2895,20.2538,94656503.1656,0.1486,0.1231
20.2895,20.3609,20.3252,126433313.4002,0.1985,0.1644
20.3609,20.4323,20.3966,160573669.6168,0.2521,0.2088
20.4323,20.5038,20.468,73982085.9231,0.1162,0.0962
20.5038,20.5752,20.5395,109663687.1642,0.1722,0.1426
20.5752,20.6466,20.6109,82283671.5489,0.1292,0.107
20.6466,20.718,20.6823,98417188.1603,0.1545,0.128
20.718,20.7894,20.7537,170749839.9799,0.2681,0.222
20.7894,20.8609,20.8252,91307473.219,0.1434,0.1187
20.8609,20.9323,20.8966,164734919.6873,0.2586,0.2142
20.9323,21.0037,20.968,113672852.118,0.1785,0.1478
21.0037,21.0751,21.0394,103243937.8531,0.1621,0.1342
21.0751,21.1465,21.1108,135186822.9461,0.2122,0.1758
21.1465,21.218,21.1823,91195403.2763,0.1432,0.1186
21.218,21.2894,21.2537,88948221.9946,0.1396,0.1156
